DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-08-31 20:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,1599,1606
2020-08-24 15:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,159,162
2020-08-27 11:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,87,88
2020-08-16 06:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,224,227
2020-08-29 07:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,25,25
2020-08-17 07:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,2974,2985
2020-08-15 14:00:00,2,RAY,TELEFERİK EYÜP PİYERLOTİ,2,NORMAL,137,221
2020-08-29 08:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,52,57
2020-08-28 14:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,157,181
2020-08-21 11:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,171,177
2020-08-05 17:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,2904,2938
2020-08-20 07:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,75,79
2020-08-31 13:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,4916,5207
2020-08-05 19:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,12000,12606
2020-08-27 03:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,448,476
2020-08-22 11:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,17065,18190
2020-08-09 14:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,2575,2591
2020-08-26 15:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,221,233
2020-08-31 03:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,10,10
2020-08-01 16:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,3834,3895
2020-08-15 13:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,11849,13297
2020-08-09 17:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,2353,2370
