DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-12-21 17:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,319,354
2020-12-06 17:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,135,135
2020-12-28 03:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,68,70
2020-12-17 05:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,236,240
2020-12-02 03:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,1,1
2020-12-13 08:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,936,949
2020-12-28 16:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,249,252
2020-12-13 07:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,161,161
2020-12-02 19:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,1788,1810
2020-12-27 12:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,1661,1776
2020-12-23 17:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,91,91
2020-12-02 22:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,79,79
2020-12-02 09:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,9105,9280
2020-12-18 06:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,3175,3213
2020-12-17 12:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,4338,4445
2020-12-01 18:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,18564,19136
2020-12-17 17:00:00,2,RAY,TELEFERİK EYÜP PİYERLOTİ,2,NORMAL,54,93
2020-12-07 08:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,12466,12615
2020-12-27 16:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,3326,3511
2020-12-27 15:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,2913,3098
2020-12-28 05:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,1,1
2020-12-21 10:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,135,162
2020-12-06 16:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,686,730
2020-12-23 12:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,19335,20707
2020-12-23 07:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,141,142
2020-12-25 17:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,343,383
