DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-09-15 09:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,909,910
2020-09-16 09:00:00,2,RAY,TELEFERİK MAÇKA - TAŞKIŞLA,2,NORMAL,12,15
2020-09-15 12:00:00,2,RAY,KADIKÖY-MODA,2,NORMAL,84,88
2020-09-06 13:00:00,1,KARAYOLU,ÖHO,2,NORMAL,60045,69100
2020-09-26 13:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,3348,3379
2020-09-18 00:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,201,231
2020-09-12 14:00:00,2,RAY,TELEFERİK MAÇKA - TAŞKIŞLA,2,NORMAL,28,43
2020-09-26 06:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,1990,2018
2020-09-14 21:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,2502,2662
2020-09-21 10:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,6692,7061
2020-09-02 21:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,5780,5977
2020-09-10 20:00:00,2,RAY,KADIKÖY-MODA,2,NORMAL,20,21
2020-09-14 21:00:00,2,RAY,KADIKÖY-MODA,2,NORMAL,2,2
2020-09-26 18:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,11402,12257
2020-09-14 13:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,5146,5601
2020-09-12 08:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,4,4
2020-09-26 21:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,1561,1573
2020-09-10 03:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,1,1
2020-09-10 11:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,913,918
2020-09-11 18:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,2245,2258
2020-09-19 22:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,189,189
2020-09-15 22:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,1349,1356
2020-09-14 17:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,6811,7228
