DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-07-22 01:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2,2
2020-07-01 04:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,7,7
2020-07-21 16:00:00,2,RAY,MARMARAY,2,AKTARMA,3410,3427
2020-07-18 10:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,77,91
2020-07-16 23:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,30,30
2020-07-25 13:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,5353,5737
2020-07-21 05:00:00,2,RAY,MARMARAY,2,NORMAL,786,799
2020-07-30 07:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,1899,1955
2020-07-26 21:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,1253,1258
2020-07-14 13:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,191,207
2020-07-11 22:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,26,26
2020-07-14 06:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,5,5
2020-07-25 18:00:00,2,RAY,MARMARAY,2,NORMAL,15817,16957
2020-07-15 07:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,20,20
2020-07-21 00:00:00,2,RAY,MARMARAY,2,AKTARMA,4,4
2020-07-31 23:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,310,370
2020-07-26 16:00:00,2,RAY,MARMARAY,2,AKTARMA,3257,3264
2020-07-02 06:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,609,610
2020-07-25 17:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,5959,6403
2020-07-18 09:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,74,83
2020-07-19 16:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,71,71
2020-07-19 11:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,71,83
2020-07-06 10:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,8096,8729
2020-07-12 19:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,148,158
2020-07-26 10:00:00,2,RAY,MARMARAY,2,AKTARMA,1792,1800
2020-07-11 12:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,121,124
2020-07-12 12:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,15807,17513
2020-07-05 21:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,1688,1711
2020-07-21 16:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,4815,5104
2020-07-09 23:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,2222,2434
2020-07-16 19:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,38667,40263
2020-07-05 08:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,2720,2978
2020-07-16 18:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,49143,51023
2020-07-16 21:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,17093,18104
2020-07-10 13:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,133,141
2020-07-14 22:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,58,71
2020-07-05 09:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,2838,3146
2020-07-05 11:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,3773,4368
2020-07-22 03:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,1,1
