DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-10-14 14:00:00,2,RAY,İETT TÜNEL,2,NORMAL,366,404
2020-10-18 08:00:00,1,KARAYOLU,İETT,2,AKTARMA,935,943
2020-10-12 14:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,31,44
2020-10-08 00:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,16,16
2020-10-04 14:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,222,223
2020-10-20 06:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,1755,1780
2020-10-12 02:00:00,1,KARAYOLU,İETT,2,NORMAL,139,153
2020-10-14 22:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,419,419
2020-10-12 21:00:00,1,KARAYOLU,İETT,2,AKTARMA,2280,2300
2020-10-14 16:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,1669,1677
2020-10-15 16:00:00,2,RAY,İETT TÜNEL,2,AKTARMA,181,183
2020-10-11 17:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,38,45
2020-10-13 16:00:00,1,KARAYOLU,İETT,2,AKTARMA,5898,5981
2020-10-31 12:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,852,857
2020-10-29 11:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,1882,2067
2020-10-18 17:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,1495,1500
2020-10-02 05:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,84,85
2020-10-23 16:00:00,1,KARAYOLU,ÖHO,2,NORMAL,79194,87114
2020-10-17 08:00:00,1,KARAYOLU,İETT,2,AKTARMA,2564,2587
2020-10-18 19:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,4643,4994
2020-10-23 10:00:00,1,KARAYOLU,ÖHO,2,NORMAL,55581,62000
2020-10-28 15:00:00,1,KARAYOLU,ÖHO,2,NORMAL,65747,73094
2020-10-23 21:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,4987,5061
2020-10-24 07:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,4358,4420
2020-10-02 09:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,1830,1938
2020-10-19 08:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,1905,1910
2020-10-31 23:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,393,393
2020-10-03 19:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,1575,1723
2020-10-07 13:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,1077,1149
2020-10-03 07:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,2675,2737
2020-10-31 17:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,4626,5174
2020-10-29 08:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,7304,7654
2020-10-11 15:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,31,39
2020-10-28 15:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,10224,10498
2020-10-04 09:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,125,126
2020-10-08 19:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,3613,3748
2020-10-29 14:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,4684,5596
2020-10-02 06:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,208,208
2020-10-09 12:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,215,215
2020-10-17 09:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,12,15
2020-10-17 10:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,AKTARMA,7,7
2020-10-06 21:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,210,211
2020-10-11 07:00:00,2,RAY,İETT TÜNEL,2,AKTARMA,6,6
2020-10-17 05:00:00,1,KARAYOLU,İETT,2,NORMAL,1863,1927
2020-10-16 18:00:00,1,KARAYOLU,İETT,2,NORMAL,59103,62745
2020-10-14 13:00:00,2,RAY,İETT TÜNEL,2,AKTARMA,174,175
2020-10-28 05:00:00,1,KARAYOLU,ÖHO,2,NORMAL,7112,7471
2020-10-08 08:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,851,852
2020-10-17 13:00:00,1,KARAYOLU,İETT,2,AKTARMA,3036,3065
2020-10-14 18:00:00,2,RAY,İETT TÜNEL,2,NORMAL,579,646
2020-10-31 23:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,86,86
2020-10-23 03:00:00,1,KARAYOLU,ÖHO,2,NORMAL,24,29
2020-10-30 22:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,605,641
2020-10-16 04:00:00,1,KARAYOLU,İETT,2,NORMAL,90,94
