"PASSAGE_COUNT","PASSENGER_COUNT","transaction_Month","transaction_Year","LINE","STATION_NAME","STATION_NUMBER","TOWN","LATITUDE","LONGITUDE"
27806,9178,4,2020,TAKSİM-4.LEVENT,"4 Levent 2 Güney",L44-L44,Kağıthane,"41.0857222222222","29.0068611111111"
45733,17664,4,2020,TAKSİM-4.LEVENT,"4 Levent Kuzey",L24-L24,Kağıthane,"41.0857222222222","29.0068611111111"
16079,5036,4,2020,TAKSİM-4.LEVENT,Atatürk Oto Sanayi Kuzey,A1S-A1S,Şişli,"41.11875","29.0238055555556"
2468,1008,4,2020,TAKSİM-4.LEVENT,Darüşşafaka Güney,DS1-DS2,Sarıyer,"41.1302222222222","29.0253333333333"
25952,11762,4,2020,TAKSİM-4.LEVENT,Haliç güney,HLC-HL1,Fatih,"41.0226944444444","28.9666944444444"
43625,15975,4,2020,TAKSİM-4.LEVENT,Levent Güney,LVT-LVT,Şişli,"41.0759722222222","29.0145555555556"
35049,15040,4,2020,TAKSİM-4.LEVENT,Osmanbey Kuzey,OBY-OBY,Şişli,"41.0540277777778","28.9871944444444"
70049,33867,4,2020,TAKSİM-4.LEVENT,Yenikapı Kuzey,YNK-YN2,Fatih,"41.0051944444444","28.9517222222222"
10135,4534,4,2020,TAKSİM-4.LEVENT,Şişhane Kuzey,S1H-S1H,Beyoğlu,"41.0287222222222","28.9748888888889"
896,656,4,2020,TAKSİM-KABATAŞ FUNİKULERİ,KABATAS,KTS-TKS,Beyoğlu,"41.0340555555556","28.9920277777778"
16304,6007,4,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,ALTINŞEHİR,ASI-ASI,Ümraniye,"41.0166944444444","29.1401111111111"
33854,12666,4,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,Bulgurlu,BLG-BLG,Üsküdar,"41.0165833333333","29.0754444444444"
32161,14605,4,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,ÇAKMAK,CMK-CMK,Ümraniye,"41.0215","29.1185"
723,515,4,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,ÇEKMEKÖY 1,CKM-CK1,Çekmeköy,"41.0146111111111","29.189"
63219,24703,4,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,ÇEKMEKÖY 2,CKM-CK2,Çekmeköy,"41.0145277777778","29.1895"
16724,5318,4,2020,ÜSKÜDAR ÇEKMEKÖY METROSU,İMAM HATİP LİSESİ,IHL-IHL,Ümraniye,"41.0158055555556","29.151"
10780,5394,4,2020,İETT TÜNEL,Karaköy,KAR-TKK,Beyoğlu,"41.0228055555556","28.9740833333333"
328188,120461,5,2019,AKSARAY-HAVALİMANI,BAYRAMPASA,BAY-BAY,EyüpSultan,"41.0341944444444","28.9202222222222"
593611,242659,5,2019,AKSARAY-HAVALİMANI,EMNIYET,EMT-EMT,Fatih,"41.0179722222222","28.9388055555556"
438169,114610,5,2019,AKSARAY-HAVALİMANI,MENDERES,MDR-MDR,Esenler,"41.0425","28.8780555555556"
352323,84476,5,2019,AKSARAY-HAVALİMANI,TERAZIDERE,TER-TER,Esenler,"41.0305277777778","28.8976666666667"
1707608,601050,5,2019,AKSARAY-HAVALİMANI,YENIKAPI,YNK-YNH,Fatih,"41.0051944444444","28.9517222222222"
606032,247628,5,2019,AKSARAY-HAVALİMANI,ZEYTINBURNU,ZEY-ZEY,Bakırköy,"41.00175","28.8900833333333"
361894,116163,5,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Ali Fuat Başgil,ALF-ALF,Gaziosmanpaşa,"41.0682222222222","28.8960833333333"
135185,38729,5,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Baştabya,BTB-BTB,Esenler,"41.0883611111111","28.8661666666667"
148859,36536,5,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Cebeci,CBC-CBC,Sultangazi,"41.1124444444444","28.8575833333333"
120314,50047,5,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Edirnekapı,EDK-EDK,EyüpSultan,"41.0311111111111","28.93425"
204900,56215,5,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Hacışükrü,HCS-HCS,Sultangazi,"41.0925555555556","28.8641388888889"
159217,48245,5,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Sağmalcılar,SML-SML,Gaziosmanpaşa,"41.0575277777778","28.90675"
450014,158316,5,2019,EDİRNEKAPI-SULTANÇİFTLİĞİ,Şehitlik,SHT-SHT,EyüpSultan,"41.0342777777778","28.9283333333333"
148781,39431,5,2019,KABATAŞ-BAĞCILAR,Akıncılar,AKN-KBT,Güngören,"41.01725","28.8711944444444"
174821,38866,5,2019,KABATAŞ-BAĞCILAR,Cami,CMI-KBT,Güngören,"41.0236388888889","28.8638611111111"
