DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-11-19 17:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,2121,2138
2020-11-04 08:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,357,358
2020-11-25 14:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,341,344
2020-11-28 23:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,1,1
2020-11-09 19:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,112,114
2020-11-18 19:00:00,2,RAY,MARMARAY,2,NORMAL,12790,13099
2020-11-25 19:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,3625,3751
2020-11-18 11:00:00,2,RAY,MARMARAY,2,AKTARMA,2255,2276
2020-11-24 16:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,695,702
2020-11-25 21:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,687,722
2020-11-17 21:00:00,2,RAY,MARMARAY,2,NORMAL,6178,6397
2020-11-18 23:00:00,2,RAY,MARMARAY,2,AKTARMA,204,205
2020-11-25 03:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,2,2
2020-11-07 10:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,63,63
2020-11-19 06:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2136,2146
2020-11-03 13:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,119,119
2020-11-07 09:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,82,110
2020-11-28 21:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,6,6
2020-11-28 19:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,174,175
2020-11-10 08:00:00,2,RAY,MARMARAY,2,AKTARMA,2771,2775
2020-11-21 17:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,248,250
2020-11-30 23:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,271,281
2020-11-21 06:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,646,652
2020-11-13 06:00:00,2,RAY,MARMARAY,2,NORMAL,6217,6250
2020-11-21 08:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,507,507
2020-11-20 22:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,41,41
2020-11-10 17:00:00,2,RAY,MARMARAY,2,AKTARMA,3815,3838
2020-11-20 06:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,154,154
2020-11-14 22:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2218,2314
2020-11-03 08:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,58,59
2020-11-09 01:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,8,8
2020-11-04 20:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,50,50
2020-11-24 09:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,1114,1150
2020-11-05 10:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,158,161
2020-11-19 11:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,3041,3163
2020-11-03 10:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,155,194
2020-11-18 04:00:00,2,RAY,MARMARAY,2,NORMAL,3,3
2020-11-29 14:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,861,1010
2020-11-29 07:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,18,18
2020-11-14 09:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,3744,3843
2020-11-08 22:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,134,134
2020-11-21 07:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,668,668
2020-11-02 06:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,10,10
2020-11-09 08:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,52311,53297
2020-11-14 16:00:00,2,RAY,MARMARAY,2,AKTARMA,3819,3838
2020-11-26 10:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,265,268
2020-11-19 05:00:00,2,RAY,MARMARAY,2,AKTARMA,50,50
2020-11-10 05:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,235,235
2020-11-04 13:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,21560,23029
2020-11-26 17:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,308,310
2020-11-18 00:00:00,2,RAY,MARMARAY,2,NORMAL,16,16
2020-11-24 07:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,108,109
2020-11-05 11:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,88,91
2020-11-11 00:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,7,7
2020-11-07 11:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,69,69
2020-11-24 09:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,320,320
2020-11-17 18:00:00,2,RAY,MARMARAY,2,NORMAL,23102,23798
2020-11-24 23:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,11,11
2020-11-19 07:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,6673,6705
2020-11-04 22:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,13876,14494
2020-11-27 15:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,2245,2566
2020-11-04 21:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,110,112
2020-11-19 19:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,6468,6621
2020-11-13 20:00:00,2,RAY,MARMARAY,2,AKTARMA,1821,1826
2020-11-04 10:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,20481,21501
2020-11-14 03:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2,2
2020-11-28 08:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,209,209
2020-11-10 00:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,4,4
2020-11-29 11:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,602,667
2020-11-05 17:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,421,432
2020-11-30 02:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,6,6
2020-11-14 13:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,6326,6629
2020-11-20 12:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,934,989
