DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2021-01-11 11:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,541,545
2021-01-18 06:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,1834,1867
2021-01-01 17:00:00,1,KARAYOLU,İETT,2,NORMAL,7406,7868
2021-01-18 20:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,7064,7199
2021-01-22 05:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,712,713
2021-01-21 10:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,699,701
2021-01-13 18:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,9114,9257
2021-01-22 09:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,784,786
2021-01-06 07:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,4,4
2021-01-06 16:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,AKTARMA,7,7
2021-01-22 04:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,11,11
2021-01-26 10:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,7279,7343
2021-01-22 16:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,3813,3862
2021-01-11 13:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,2246,2382
2021-01-01 13:00:00,1,KARAYOLU,İETT,2,NORMAL,1513,1689
2021-01-21 09:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,814,815
2021-01-22 23:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,716,717
2021-01-26 22:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,228,230
2021-01-26 13:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,3067,3147
2021-01-02 23:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,123,131
2021-01-06 01:00:00,1,KARAYOLU,İETT,2,NORMAL,14,15
2021-01-07 19:00:00,1,KARAYOLU,İETT,2,AKTARMA,6397,6451
2021-01-02 08:00:00,1,KARAYOLU,İETT,2,NORMAL,10101,10588
2021-01-22 11:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,6436,6511
2021-01-27 09:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,10531,10580
2021-01-20 19:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,1804,1806
2021-01-03 11:00:00,1,KARAYOLU,İETT,2,AKTARMA,133,134
2021-01-20 15:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,2036,2044
2021-01-22 12:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,2446,2501
2021-01-25 15:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,2320,2326
2021-01-20 22:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,9,9
2021-01-14 05:00:00,1,KARAYOLU,ÖHO,2,NORMAL,7508,7870
2021-01-04 12:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,1173,1181
2021-01-17 21:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,332,339
2021-01-21 17:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,946,957
2021-01-11 19:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,1750,1759
2021-01-27 13:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,2495,2546
2021-01-22 10:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,2016,2068
2021-01-06 21:00:00,1,KARAYOLU,İETT,2,AKTARMA,987,997
2021-01-26 23:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,760,765
