DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-06-07 08:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,1829,1925
2020-06-07 22:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,2669,3110
2020-06-23 05:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,14,14
2020-06-28 11:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,51,51
2020-06-26 18:00:00,2,RAY,MARMARAY,2,NORMAL,19160,19794
2020-06-03 00:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,61,69
2020-06-27 22:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2323,2531
2020-06-03 13:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,6507,7152
2020-06-27 21:00:00,2,RAY,MARMARAY,2,AKTARMA,1698,1704
2020-06-13 15:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,122,126
2020-06-13 14:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,22176,23916
2020-06-03 06:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,563,564
2020-06-07 16:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,5292,6297
2020-06-22 23:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,342,344
2020-06-23 18:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,2246,2253
2020-06-08 15:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,3432,3532
2020-06-07 11:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,1211,1234
2020-06-18 20:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,51,51
2020-06-13 20:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,19166,20752
2020-06-22 16:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,4247,4494
2020-06-13 13:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,57,57
2020-06-14 05:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,965,1005
2020-06-02 20:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,1292,1317
2020-06-27 12:00:00,2,RAY,MARMARAY,2,AKTARMA,150,150
2020-06-21 16:00:00,2,RAY,MARMARAY,2,NORMAL,8997,9988
2020-06-18 15:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,173,178
2020-06-16 15:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,101,102
2020-06-23 15:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2858,3044
2020-06-27 17:00:00,2,RAY,MARMARAY,2,AKTARMA,3033,3053
2020-06-16 20:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,18,19
2020-06-16 16:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,65,65
2020-06-11 17:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,91,91
2020-06-24 05:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,12,12
2020-06-11 06:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,9,9
2020-06-18 15:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,17256,18509
2020-06-22 21:00:00,2,RAY,MARMARAY,2,AKTARMA,1191,1200
2020-06-11 20:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,21,22
2020-06-02 13:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,6661,7275
2020-06-15 21:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,21,21
2020-06-21 13:00:00,2,RAY,MARMARAY,2,NORMAL,7271,7979
2020-06-27 09:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,925,958
