ilce_adi;mahalle_adi;mahalle_uavt;1980_oncesi;1980-2000_arasi;2000_sonrasi;1-4 kat_arasi;5-9 kat_arasi;9-19 kat_arasi
MALTEPE;B‹Y‹KBAKKALK÷Y;40624;105;383;367;803;47;5
MALTEPE;CEV›ZL›;40614;481;1390;233;1070;948;86
MALTEPE;«INAR;40608;208;524;43;252;523;0
MALTEPE;ESENKENT;40620;531;1413;71;1535;480;0
MALTEPE;FEYZULLAH;40610;366;472;52;287;509;94
MALTEPE;FINDIKLI;40619;91;1317;819;621;1550;56
MALTEPE;G›RNE;40618;18;587;124;405;243;81
MALTEPE;G‹LENSU;40622;722;1937;183;2712;130;0
MALTEPE;G‹LSUYU;40621;802;1249;129;1934;233;13
MALTEPE;›DEALTEPE;40609;129;688;126;371;568;4
MALTEPE;K‹«‹KYALI MERKEZ;40611;390;625;99;433;678;3
MALTEPE;YALI;40616;303;559;100;638;247;77
MALTEPE;Z‹MR‹TEVLER;40623;311;2016;738;1229;1588;248
PEND›K;AHMET YESEV›;40632;27;1294;524;1254;578;13
PEND›K;BAH«EL›EVLER;40628;284;347;426;673;345;39
PEND›K;BALLICA;191755;14;117;197;327;1;0
PEND›K;BATI;40633;231;361;339;338;589;4
PEND›K;«AM«EﬁME;40649;413;1105;321;910;906;23
PEND›K;«AMLIK;40656;0;365;663;854;117;57
PEND›K;«INARDERE;40644;498;618;319;1063;357;15
PEND›K;DO–U;40627;111;479;347;366;496;75
PEND›K;DUMLUPINAR;40626;859;879;513;1721;514;16
PEND›K;EM›RL›;191757;19;88;149;253;3;0
PEND›K;ERTU–RUL GAZ›;40635;2;2876;407;3265;20;0
PEND›K;ESENLER;40638;103;747;771;830;754;37
PEND›K;ESENYALI;40643;124;616;245;195;224;566
PEND›K;FAT›H;40647;129;977;358;897;564;3
PEND›K;FEVZ› «AKMAK;40629;467;1063;593;1140;946;37
PEND›K;G÷«BEYL›;191759;0;11;674;684;1;0
PEND›K;G‹LL‹ BA–LAR;40640;69;943;295;1014;283;10
PEND›K;G‹ZELYALI;40634;148;850;840;446;603;789
PEND›K;HARMANDERE;40636;90;198;156;348;36;60
PEND›K;KAVAKPINAR;40646;305;3558;850;3313;1378;22
PEND›K;KAYNARCA;40631;392;1167;943;964;1426;112
PEND›K;KURNA;191761;79;206;279;563;1;0
PEND›K;KURTDO–MUﬁ;191763;13;103;239;355;0;0
PEND›K;KURTK÷Y;40654;164;725;723;1014;487;111
PEND›K;ORHANGAZ›;40650;192;1276;448;1118;795;3
PEND›K;ORTA;40645;343;229;116;583;104;1
PEND›K;RAMAZANO–LU;40639;61;570;635;1177;86;3
PEND›K;SANAY›;40651;29;333;418;709;63;8
PEND›K;SAPAN BA–LARI;40637;356;319;244;643;243;33
PEND›K;S‹L‹NTEPE;40655;44;1645;673;2070;240;52
PEND›K;ﬁEYHL›;40630;117;462;527;732;319;55
PEND›K;VEL›BABA;40642;228;1469;1043;2139;575;26
PEND›K;YAYALAR;40641;167;634;265;887;165;14
PEND›K;YEN›;40652;403;405;343;793;312;46
PEND›K;YEN›ﬁEH›R;40653;1;696;829;792;336;398
PEND›K;YEﬁ›LBA–LAR;40648;221;156;189;393;161;12
SANCAKTEPE;ABDURRAHMANGAZ›;40579;41;1025;1371;1673;743;21
SANCAKTEPE;AKPINAR;40575;1;1351;532;1527;357;0
SANCAKTEPE;ATAT‹RK;98781;54;1110;713;1068;809;0
SANCAKTEPE;EMEK;40759;4;843;694;903;602;36
SANCAKTEPE;EY‹P SULTAN;40578;68;615;986;1093;571;5
SANCAKTEPE;FAT›H;40576;8;839;986;1123;679;31
SANCAKTEPE;H›LAL;40776;1;422;469;874;18;0
SANCAKTEPE;›N÷N‹;40760;20;608;699;541;786;0
SANCAKTEPE;KEMAL T‹RKLER;40761;24;679;579;761;519;2
SANCAKTEPE;MECL›S;40762;53;660;761;567;907;0
SANCAKTEPE;MERVE;40775;2;660;848;1093;412;5
SANCAKTEPE;MEVLANA;40773;1;814;602;1151;264;2
SANCAKTEPE;OSMANGAZ›;40580;25;1906;1282;2477;704;32
SANCAKTEPE;PAﬁAK÷Y;192001;99;151;445;686;9;0
SANCAKTEPE;SAFA;40771;1;515;605;736;366;19
SANCAKTEPE;SARIGAZ›;40763;41;737;543;750;571;0
SANCAKTEPE;VEYSEL KARAN›;40574;5;1298;517;1459;328;33
SANCAKTEPE;YEN›DO–AN;40774;6;814;613;995;425;13
SANCAKTEPE;YUNUS EMRE;40772;6;826;715;1152;389;6
SARIYER;AYAZA–A;40686;733;1198;707;2017;562;59
SARIYER;BAH«EK÷Y KEMER;40684;73;140;95;269;36;3
SARIYER;BAH«EK÷Y MERKEZ;40682;132;102;63;211;84;2
SARIYER;BAH«EK÷Y YEN›;40683;96;168;117;276;99;6
SARIYER;BALTAL›MANI;40657;268;593;364;1204;19;2
SARIYER;B‹Y‹KDERE;40658;552;885;353;1688;102;0
SARIYER;CUMHUR›YET;40659;425;780;313;1400;118;0
SARIYER;«AMLITEPE;40660;441;233;243;850;67;0
SARIYER;«AYIRBAﬁI;40661;340;347;182;844;25;0
SARIYER;DAR‹ﬁﬁAFAKA;40662;25;237;76;174;162;2
SARIYER;DEM›RC›K÷Y;191765;6;392;318;715;1;0
SARIYER;EM›RGAN;40663;406;281;363;973;77;0
SARIYER;FAT›H SULTAN MEHMET;40664;255;1782;800;2762;75;0
SARIYER;FERAHEVLER;40665;546;961;534;1777;263;1
SARIYER;GAR›P«E;191767;19;76;54;146;3;0
SARIYER;G‹M‹ﬁDERE;191769;17;352;409;766;12;0
SARIYER;HUZUR;40700;212;161;178;368;106;77
SARIYER;›ST›NYE;40666;432;378;688;1261;237;0
SARIYER;KAZIM KARABEK›R PAﬁA;40667;430;807;304;1508;31;2
SARIYER;KISIRKAYA;191771;0;121;92;213;0;0
SARIYER;K›RE«BURNU;40668;380;384;224;917;71;0
SARIYER;KOCATAﬁ;40669;228;484;258;968;2;0
SARIYER;KUMK÷Y (K›LYOS);191773;0;544;766;1288;22;0
SARIYER;MADEN;40670;513;991;743;2162;85;0
SARIYER;MASLAK;40704;115;180;347;564;54;24
SARIYER;PINAR;40672;378;298;854;1424;106;0
SARIYER;POL›GON;40673;210;148;360;649;69;0
SARIYER;PTT EVLER›;40674;162;257;137;479;77;0
SARIYER;REﬁ›TPAﬁA;40675;1225;637;822;2464;215;5
SARIYER;RUMEL› H›SARI;40676;558;407;385;1071;276;3
SARIYER;RUMEL› KAVA–I;40677;319;265;181;709;56;0
SARIYER;RUMEL›FENER›;191775;3;353;345;684;17;0
SARIYER;SARIYER MERKEZ;40671;715;781;372;1593;275;0
SARIYER;TARABYA;40678;365;1330;599;2009;284;1
SARIYER;USKUMRUK÷Y;191777;38;1277;1397;2710;2;0
SARIYER;YEN›;40679;318;240;154;667;45;0
SARIYER;YEN›K÷Y;40680;904;950;591;2140;299;6
SARIYER;ZEKER›YAK÷Y;191779;57;1639;1517;2915;297;1
S›L›VR›;AK÷REN;191835;0;695;440;1129;6;0
S›L›VR›;AL›BEY;40920;1;268;668;353;574;10
S›L›VR›;AL›PAﬁA;40927;0;456;472;925;3;0
S›L›VR›;BALABAN;40930;17;1842;977;2788;48;0
S›L›VR›;BEK›RL›;191845;109;56;109;274;0;0
S›L›VR›;BEYC›LER;191847;0;565;259;824;0;0
S›L›VR›;B‹Y‹K «AVUﬁLU;40941;0;1107;455;1553;5;4
S›L›VR›;B‹Y‹K KILI«LI;16775;0;557;351;905;3;0
S›L›VR›;B‹Y‹K S›NEKL›;16771;0;238;86;324;0;0
S›L›VR›;CUMHUR›YET;40922;0;1541;1015;2431;125;0
S›L›VR›;«AYIRDERE;191851;316;328;417;1061;0;0
S›L›VR›;«ELT›K;191837;0;602;265;861;6;0
S›L›VR›;DANAMANDIRA;191853;0;342;160;501;1;0
S›L›VR›;FAT›H;40918;5;357;314;465;211;0
S›L›VR›;FENER;16765;312;621;446;1376;3;0
S›L›VR›;FEVZ›PAﬁA;40933;14;590;474;1061;16;1
S›L›VR›;GAZ›TEPE;40925;0;526;228;752;2;0
S›L›VR›;G‹M‹ﬁYAKA;40935;0;2966;1610;4502;74;0
S›L›VR›;H‹RR›YET;40937;0;0;910;904;6;0
S›L›VR›;›SMETPAﬁA;40934;149;504;401;1048;6;0
S›L›VR›;KADIK÷Y;40939;281;354;294;929;0;0
S›L›VR›;KAVAKLI;40936;0;0;943;927;16;0
S›L›VR›;KURFALLI;191855;1;350;148;497;1;1
S›L›VR›;K‹«‹K KILI«LI;40924;0;124;117;241;0;0
S›L›VR›;K‹«‹K S›NEKL›;16779;0;88;13;101;0;0
S›L›VR›;M›MAR S›NAN;40923;0;1899;1315;3105;105;4
S›L›VR›;ORTAK÷Y;40938;116;859;1002;1950;23;4
S›L›VR›;P›R› MEHMET PAﬁA;40919;0;241;527;310;439;19
S›L›VR›;SANCAKTEPE;40931;17;1172;914;1996;102;5
S›L›VR›;SAYALAR;191859;0;319;251;570;0;0
S›L›VR›;SEL›MPAﬁA;40940;0;1371;3583;4723;231;0
S›L›VR›;SEM›ZKUMLAR;40926;0;2739;2671;5369;39;2
S›L›VR›;SEYMEN;191841;0;562;340;895;7;0
S›L›VR›;YEN›;40921;0;751;1085;1385;348;103
S›L›VR›;YOL«ATI;40932;0;302;124;426;0;0
SULTANBEYL›;ABDURRAHMANGAZ›;40949;117;2143;669;2481;436;12
SULTANBEYL›;AD›L;40943;2;719;538;939;290;30
SULTANBEYL›;AHMET YESEV›;40942;22;2165;619;2407;392;7
SULTANBEYL›;AKﬁEMSETT›N;40956;1;944;681;1534;92;0
SULTANBEYL›;BATTALGAZ›;40944;3;2151;1213;3007;345;15
SULTANBEYL›;FAT›H;40951;0;1702;416;1970;148;0
SULTANBEYL›;HAM›D›YE;40952;3;1923;786;2572;140;0
SULTANBEYL›;HASANPAﬁA;40948;5;1112;651;1512;248;8
SULTANBEYL›;MEC›D›YE;40945;12;1828;646;2230;254;2
SULTANBEYL›;MEHMET AK›F;40950;265;1791;733;2298;487;4
SULTANBEYL›;M›MAR S›NAN;40946;1;1100;1184;2150;121;14
SULTANBEYL›;NEC›P FAZIL;40954;0;1174;797;1900;70;1
SULTANBEYL›;ORHANGAZ›;40955;0;1034;556;1538;52;0
SULTANBEYL›;TURGUT RE›S;40947;27;1368;463;1513;344;1
SULTANBEYL›;YAVUZ SEL›M;40953;0;1662;685;2268;79;0
SULTANGAZ›;50. YIL;40471;212;2975;926;1346;2765;2
SULTANGAZ›;75. YIL;40467;207;529;676;341;1071;0
SULTANGAZ›;CEBEC›;40474;512;2700;1307;2258;2258;3
SULTANGAZ›;CUMHUR›YET;40465;61;423;193;170;507;0
SULTANGAZ›;ESENTEPE;40470;95;2026;1414;1552;1978;5
SULTANGAZ›;ESK› HAB›PLER;40356;117;257;395;601;148;20
SULTANGAZ›;GAZ›;40469;764;673;650;1290;797;0
SULTANGAZ›;HAB›BLER;40477;161;891;851;1877;24;2
SULTANGAZ›;›SMETPAﬁA;40475;399;1735;911;1047;1996;2
SULTANGAZ›;MALKO«O–LU;40476;1;531;236;279;489;0
SULTANGAZ›;SULTAN«›FTL›–›;40472;385;1143;675;813;1388;2
SULTANGAZ›;U–UR MUMCU;40473;421;1398;738;951;1598;8
SULTANGAZ›;YAYLA;40377;33;823;491;1307;40;0
SULTANGAZ›;YUNUS EMRE;40466;362;649;905;627;1289;0
SULTANGAZ›;Z‹BEYDE HANIM;40468;772;1668;656;2358;738;0
ﬁ›LE;A–A«DERE;191927;5;60;15;80;0;0
ﬁ›LE;A–VA MERKEZ;40961;200;508;151;844;15;0
ﬁ›LE;AHMETL›;191861;20;519;324;846;17;0
ﬁ›LE;AK«AKESE;191863;5;338;27;368;2;0
ﬁ›LE;ALACALI;191947;0;36;512;548;0;0
ﬁ›LE;AVCIKORU;191949;29;72;26;127;0;0
ﬁ›LE;BAL›BEY;40960;47;939;831;1781;36;0
ﬁ›LE;BI«KIDERE;191951;37;130;18;185;0;0
ﬁ›LE;BOZGOCA;16785;4;79;13;96;0;0
ﬁ›LE;BUCAKLI;191897;38;208;39;284;1;0
ﬁ›LE;«ATAKLI;191899;47;46;25;118;0;0
ﬁ›LE;«AVUﬁ;40959;171;1156;451;1586;192;0
ﬁ›LE;«AYIRBAﬁI;191867;0;415;148;557;6;0
ﬁ›LE;«ELEB›;191901;0;114;39;153;0;0
ﬁ›LE;«ENG›LL›;191929;0;95;12;107;0;0
ﬁ›LE;DARLIK;191869;0;42;17;59;0;0
ﬁ›LE;DE–›RMEN«AYIRI;191931;0;225;101;326;0;0
ﬁ›LE;DO–ANCILI;191953;0;0;714;710;4;0
ﬁ›LE;ERENLER;191871;0;41;6;47;0;0
ﬁ›LE;ESENCEL›;191955;8;25;16;49;0;0
ﬁ›LE;GEREDEL›;191903;24;454;103;581;0;0
ﬁ›LE;G÷«E;191905;62;213;63;337;1;0
ﬁ›LE;G÷KMAﬁLI;16807;49;94;8;151;0;0
ﬁ›LE;G÷KSU;191909;48;130;24;202;0;0
ﬁ›LE;HACI KASIM;40958;82;173;19;240;34;0
ﬁ›LE;HACILLI;191911;4;101;18;123;0;0
ﬁ›LE;HASANLI;191933;1;122;33;156;0;0
ﬁ›LE;›MRENDERE;191873;0;384;29;411;2;0
ﬁ›LE;›MRENL›;191875;7;358;126;487;4;0
ﬁ›LE;›SAK÷Y;191913;45;51;30;126;0;0
ﬁ›LE;KABAKOZ;191877;7;444;185;631;5;0
ﬁ›LE;KADIK÷Y;191915;0;83;11;94;0;0
ﬁ›LE;KALEM;191917;55;116;26;197;0;0
ﬁ›LE;KARABEYL›;191879;1;116;15;131;1;0
ﬁ›LE;KARACAK÷Y;191881;4;205;61;268;2;0
ﬁ›LE;KARAK›RAZ;191957;12;182;45;239;0;0
ﬁ›LE;KARAMANDERE;191883;6;127;26;159;0;0
ﬁ›LE;KERVANSARAY;191959;15;118;24;157;0;0
ﬁ›LE;KIZILCA;191885;140;158;83;370;11;0
ﬁ›LE;KORUCU;191887;3;105;22;130;0;0
ﬁ›LE;K÷M‹RL‹K;191961;27;72;12;111;0;0
ﬁ›LE;KUMBABA;40957;0;717;422;1137;2;0
ﬁ›LE;KURFALLI;191919;0;50;236;285;1;0
ﬁ›LE;KURNA;191963;16;201;37;253;1;0
ﬁ›LE;MEﬁRUT›YET;191889;2;262;109;364;9;0
ﬁ›LE;ORU«O–LU;191965;47;124;22;193;0;0
ﬁ›LE;OSMANK÷Y;191935;6;118;14;138;0;0
ﬁ›LE;OVACIK;191891;2;71;24;97;0;0
ﬁ›LE;SAH›LK÷Y;191967;4;10;977;991;0;0
ﬁ›LE;SATMAZLI;191893;3;196;42;241;0;0
ﬁ›LE;SOFULAR;191969;12;125;72;209;0;0
ﬁ›LE;SO–ULLU;191921;68;59;8;135;0;0
ﬁ›LE;SORTULLU;191937;0;48;4;52;0;0
ﬁ›LE;ﬁUAY›PL›;191923;37;69;125;231;0;0
ﬁ›LE;TEKE;16816;3;226;36;265;0;0
ﬁ›LE;ULUPEL›T;191971;0;139;29;168;0;0
ﬁ›LE;‹VEZL›;191973;5;161;84;250;0;0
ﬁ›LE;YAKA;191939;0;85;18;103;0;0
ﬁ›LE;YAYLALI;191941;0;48;9;56;1;0
ﬁ›LE;YAZIMANAYIR;191943;4;107;11;122;0;0
ﬁ›LE;YEN›K÷Y;191895;0;142;15;156;1;0
ﬁ›LE;YEﬁ›LVAD›;191945;5;111;20;136;0;0
ﬁ›ﬁL›;19.May;40685;389;190;49;90;437;101
ﬁ›ﬁL›;BOZKURT;40687;480;377;32;148;710;31
ﬁ›ﬁL›;CUMHUR›YET;40688;278;241;56;94;425;56
ﬁ›ﬁL›;DUATEPE;40689;264;291;18;69;496;8
ﬁ›ﬁL›;ERGENEKON;40690;165;272;22;193;190;76
ﬁ›ﬁL›;ESENTEPE;40691;486;194;88;319;351;98
ﬁ›ﬁL›;ESK›ﬁEH›R;40692;502;523;97;510;595;17
ﬁ›ﬁL›;FER›K÷Y;40693;383;377;88;148;693;7
ﬁ›ﬁL›;FULYA;40694;426;379;63;126;656;86
ﬁ›ﬁL›;G‹LBAHAR;40695;437;429;89;216;618;121
ﬁ›ﬁL›;HALASKARGAZ›;40698;230;91;34;55;261;39
ﬁ›ﬁL›;HAL›DE ED›P ADIVAR;40696;240;454;90;210;537;37
ﬁ›ﬁL›;HAL›L RIFAT PAﬁA;40697;83;249;49;258;123;0
ﬁ›ﬁL›;HARB›YE;40699;142;129;53;116;159;49
ﬁ›ﬁL›;›N÷N‹;40711;411;320;56;470;270;47
ﬁ›ﬁL›;›ZZET PAﬁA;40712;345;242;16;199;389;15
ﬁ›ﬁL›;KAPTANPAﬁA;40701;49;30;22;54;23;24
ﬁ›ﬁL›;KUﬁTEPE;40702;993;701;66;1335;404;21
ﬁ›ﬁL›;MAHMUT ﬁEVKET PAﬁA;40703;606;502;40;335;795;18
ﬁ›ﬁL›;MEC›D›YEK÷Y;40705;612;437;46;306;694;95
ﬁ›ﬁL›;MERKEZ;40706;839;451;89;301;1007;71
ﬁ›ﬁL›;MEﬁRUT›YET;40707;600;300;41;96;764;81
ﬁ›ﬁL›;PAﬁA;40708;682;618;221;891;623;7
ﬁ›ﬁL›;TEﬁV›K›YE;40709;449;369;58;145;656;75
ﬁ›ﬁL›;YAYLA;40710;510;321;118;553;391;5
TUZLA;AKFIRAT;40725;0;0;480;475;5;0
TUZLA;ANADOLU;40730;0;40;160;193;7;0
TUZLA;AYDINLI;40720;158;2730;2258;4130;844;172
TUZLA;AYDINTEPE;40717;140;699;615;744;592;118
TUZLA;CAM›;40724;170;457;283;809;100;1
TUZLA;EVL›YA «ELEB›;40718;88;590;554;871;360;1
TUZLA;FAT›H;40731;0;61;271;303;29;0
TUZLA;›«MELER;40716;269;713;198;908;271;1
TUZLA;›STASYON;40723;301;398;664;894;469;0
TUZLA;MESC›T;40732;13;41;638;625;67;0
TUZLA;M›MAR S›NAN;40721;240;1582;490;1998;262;52
TUZLA;ORHANLI;40728;81;89;1675;1693;148;4
TUZLA;ORTA;40729;2;11;967;762;216;2
TUZLA;POSTANE;40719;719;1416;1223;3061;288;9
TUZLA;ﬁ›FA;40722;234;1538;584;1844;483;29
TUZLA;TEPE÷REN;40726;78;188;2515;2699;81;1
TUZLA;YAYLA;40715;387;583;740;1105;598;7
‹MRAN›YE;ADEM YAVUZ;98684;390;927;342;1383;254;22
‹MRAN›YE;ALTINﬁEH›R;98685;180;1020;647;938;895;14
‹MRAN›YE;ARMA–ANEVLER;98686;240;499;947;562;1002;122
‹MRAN›YE;AﬁA–I DUDULLU;40742;111;845;408;1113;224;27
‹MRAN›YE;ATAKENT;40748;24;548;416;656;290;42
‹MRAN›YE;ATAT‹RK;40735;366;518;465;519;770;60
‹MRAN›YE;CEM›L MER›«;98688;325;2024;531;2618;241;21
‹MRAN›YE;«AKMAK;40738;150;464;908;394;1071;57
‹MRAN›YE;«AMLIK;98689;4;344;625;277;613;83
‹MRAN›YE;DUMLUPINAR;98690;276;1674;517;2417;49;1
‹MRAN›YE;ELMALIKENT;98691;90;1589;399;1816;220;42
‹MRAN›YE;ESENEVLER;98692;74;473;610;374;727;56
‹MRAN›YE;ESENKENT;98709;40;997;1017;1434;601;19
‹MRAN›YE;ESENﬁEH›R;40747;157;894;601;1077;553;22
‹MRAN›YE;FAT›H SULTAN MEHMET;98693;15;57;147;107;94;18
‹MRAN›YE;HEK›MBAﬁI;40744;197;1140;360;1678;18;1
‹MRAN›YE;HUZUR;98694;37;798;395;1089;137;4
‹MRAN›YE;IHLAMURKUYU;40745;398;846;402;1249;379;18
‹MRAN›YE;›NKILAP;40737;240;1498;755;2020;379;94
‹MRAN›YE;›ST›KLAL;40739;103;918;827;505;1266;77
‹MRAN›YE;KAZIM KARABEK›R;40743;562;1465;402;2243;183;3
‹MRAN›YE;MADENLER;98695;5;397;532;621;276;37
‹MRAN›YE;MEHMET AK›F;98696;5;165;507;136;375;166
‹MRAN›YE;NAMIK KEMAL;40736;366;631;553;656;862;32
‹MRAN›YE;NEC›P FAZIL;98699;30;1163;790;1362;541;80
‹MRAN›YE;PARSELLER;98700;2;679;641;1083;222;17
‹MRAN›YE;SARAY;98701;43;71;254;293;40;35
‹MRAN›YE;S›TE;98702;276;610;570;986;349;121
‹MRAN›YE;ﬁER›FAL›;98703;7;280;679;508;391;67
‹MRAN›YE;TANTAV›;98704;36;200;191;166;234;27
‹MRAN›YE;TATLISU;98705;8;260;421;279;221;189
‹MRAN›YE;TEPE‹ST‹;98706;201;499;225;544;364;17
‹MRAN›YE;TOPA–ACI;98707;260;2051;611;2868;54;0
‹MRAN›YE;YAMANEVLER;98708;163;352;334;404;434;11
‹MRAN›YE;YUKARI DUDULLU;40741;67;1383;856;1524;762;20
‹SK‹DAR;ACIBADEM;40778;268;412;146;92;690;44
‹SK‹DAR;AHMED›YE;98664;203;324;69;143;450;3
‹SK‹DAR;ALTUN›ZADE;40781;173;461;195;353;413;63
‹SK‹DAR;AZ›Z MAHMUT H‹DAY›;98665;416;348;62;394;428;4
‹SK‹DAR;BAH«EL›EVLER;40785;569;1254;417;1944;295;1
‹SK‹DAR;BARBAROS;40786;181;400;60;270;349;22
‹SK‹DAR;BEYLERBEY›;40787;540;215;157;773;139;0
‹SK‹DAR;BULGURLU;40788;124;1076;160;386;928;46
‹SK‹DAR;BURHAN›YE;40789;501;831;332;1153;510;1
‹SK‹DAR;CUMHUR›YET;40790;230;1119;523;460;1390;22
‹SK‹DAR;«ENGELK÷Y;98666;713;847;259;1432;384;3
‹SK‹DAR;FERAH;40794;204;775;315;815;479;0
‹SK‹DAR;G‹ZELTEPE;40797;423;727;251;1092;308;1
‹SK‹DAR;›CAD›YE;40802;685;580;97;478;883;1
‹SK‹DAR;KAND›LL›;40806;211;279;86;554;22;0
‹SK‹DAR;KISIKLI;40809;256;991;315;938;611;13
‹SK‹DAR;K›RAZLITEPE;40808;733;580;191;1361;143;0
‹SK‹DAR;KULEL›;40810;251;188;36;461;14;0
‹SK‹DAR;KUZGUNCUK;40811;304;574;184;935;127;0
‹SK‹DAR;K‹«‹K«AMLICA;98667;243;790;458;1267;222;2
‹SK‹DAR;K‹«‹KSU;40812;291;904;239;1056;377;1
‹SK‹DAR;K‹PL‹CE;40813;717;744;148;1201;408;0
‹SK‹DAR;MEHMET AK›F ERSOY;40814;578;1045;300;1574;341;8
‹SK‹DAR;M›MAR S›NAN;98668;493;412;143;522;524;2
‹SK‹DAR;MURATRE›S;40815;520;320;159;401;597;1
‹SK‹DAR;SALACAK;40804;475;247;49;252;518;1
‹SK‹DAR;SELAM› AL›;40819;378;276;128;188;591;3
‹SK‹DAR;SEL›M›YE;40820;443;236;100;396;372;11
‹SK‹DAR;SULTANTEPE;98669;468;222;47;198;538;1
‹SK‹DAR;‹NALAN;40827;953;1059;190;1239;805;158
‹SK‹DAR;VAL›DE-› AT›K;40828;576;475;163;291;922;1
‹SK‹DAR;YAVUZT‹RK;40830;496;2354;372;2804;387;31
‹SK‹DAR;ZEYNEP KAM›L;98670;248;424;27;112;586;1
ZEYT›NBURNU;BEﬁTELS›Z;40838;361;880;309;482;1058;10
ZEYT›NBURNU;«IRPICI;40837;381;759;311;464;986;1
ZEYT›NBURNU;G÷KALP;40834;116;716;243;218;856;1
ZEYT›NBURNU;KAZLI«EﬁME;40840;111;171;240;449;60;13
ZEYT›NBURNU;MALTEPE;40843;450;927;185;1228;269;65
ZEYT›NBURNU;MERKEZEFEND›;40842;182;625;162;469;469;31
ZEYT›NBURNU;NUR›PAﬁA;40832;43;1017;183;251;991;1
ZEYT›NBURNU;SEY›TN›ZAM;40841;157;1024;372;839;672;42
ZEYT›NBURNU;S‹MER;40831;53;1025;223;252;989;60
ZEYT›NBURNU;TELS›Z;40839;567;763;710;596;1443;1
ZEYT›NBURNU;VEL›EFEND›;40836;92;1020;185;418;879;0
ZEYT›NBURNU;YEN›DO–AN;40833;31;450;67;109;438;1
ZEYT›NBURNU;YEﬁ›LTEPE;40835;50;726;113;203;685;1
