DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2021-02-17 14:00:00,2,RAY,T5 EMİNÖNÜ-ALİBEYKÖY,2,NORMAL,225,229
2021-02-04 08:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,16607,16683
2021-02-06 06:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,76,76
2021-02-16 06:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,15004,15040
2021-02-25 14:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,20,20
2021-02-25 04:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,1,1
2021-02-06 15:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,372,374
2021-02-03 08:00:00,2,RAY,TELEFERİK MAÇKA - TAŞKIŞLA,2,NORMAL,3,3
2021-02-04 20:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,3879,3886
2021-02-22 14:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,13162,13480
2021-02-04 17:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,16361,16598
2021-02-15 19:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,7136,7167
2021-02-03 20:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,55,55
2021-02-17 15:00:00,2,RAY,T5 EMİNÖNÜ-ALİBEYKÖY,2,NORMAL,225,228
2021-02-04 22:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,467,468
2021-02-15 10:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,1294,1297
2021-02-04 23:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,255,255
2021-02-12 06:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,469,469
2021-02-17 17:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,13095,13163
2021-02-17 06:00:00,2,RAY,T5 EMİNÖNÜ-ALİBEYKÖY,2,NORMAL,23,23
2021-02-25 16:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,5078,5253
2021-02-01 05:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,252,252
2021-02-10 10:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,AKTARMA,1,1
2021-02-03 21:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,15,15
2021-02-28 15:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,1368,1379
2021-02-08 12:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,1366,1368
2021-02-11 11:00:00,2,RAY,MARMARAY,2,NORMAL,13427,13533
2021-02-24 23:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,23,23
2021-02-25 07:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,33,34
2021-02-16 20:00:00,1,KARAYOLU,İETT,2,NORMAL,19037,19489
2021-02-18 09:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,830,830
2021-02-08 06:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,2071,2087
2021-02-10 13:00:00,2,RAY,TELEFERİK EYÜP PİYERLOTİ,2,NORMAL,94,118
2021-02-18 15:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,1930,1950
2021-02-13 14:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,84,85
2021-02-06 18:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,209,209
2021-02-15 06:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2375,2376
2021-02-28 22:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,417,419
2021-02-04 12:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,9120,9348
2021-02-08 09:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,693,693
2021-02-16 09:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,34204,34446
2021-02-07 06:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,63,63
2021-02-24 03:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,10,10
2021-02-15 00:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,7,7
2021-02-28 20:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,753,758
2021-02-18 12:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,1164,1172
2021-02-25 20:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,12,12
