TRAFFIC_INDEX_DATE,MINIMUM_TRAFFIC_INDEX,MAXIMUM_TRAFFIC_INDEX,AVERAGE_TRAFFIC_INDEX
2019-04-30 00:00:00 +0000 UTC,1,255,33
2019-05-01 00:00:00 +0000 UTC,1,255,15
2019-05-02 00:00:00 +0000 UTC,2,255,34
2019-05-03 00:00:00 +0000 UTC,1,67,31
2019-05-04 00:00:00 +0000 UTC,1,53,26
2019-05-05 00:00:00 +0000 UTC,1,255,17
2019-05-06 00:00:00 +0000 UTC,1,255,22
2019-05-07 00:00:00 +0000 UTC,1,255,25
2019-05-08 00:00:00 +0000 UTC,1,49,21
2019-05-09 00:00:00 +0000 UTC,1,56,21
2019-05-10 00:00:00 +0000 UTC,1,255,28
2019-05-11 00:00:00 +0000 UTC,1,255,24
2019-05-12 00:00:00 +0000 UTC,1,255,14
2019-05-13 00:00:00 +0000 UTC,1,255,23
2019-05-14 00:00:00 +0000 UTC,1,255,22
2019-05-15 00:00:00 +0000 UTC,1,255,23
2019-05-16 00:00:00 +0000 UTC,1,255,24
2019-05-17 00:00:00 +0000 UTC,1,255,29
2019-05-18 00:00:00 +0000 UTC,1,45,18
2019-05-19 00:00:00 +0000 UTC,1,255,12
2019-05-20 00:00:00 +0000 UTC,1,255,18
2019-05-22 00:00:00 +0000 UTC,2,60,32
2019-05-23 00:00:00 +0000 UTC,1,255,26
2019-05-24 00:00:00 +0000 UTC,1,67,30
2019-05-25 00:00:00 +0000 UTC,1,255,23
2019-05-26 00:00:00 +0000 UTC,1,255,14
2019-05-27 00:00:00 +0000 UTC,1,255,26
2019-05-28 00:00:00 +0000 UTC,1,255,27
2019-05-29 00:00:00 +0000 UTC,1,255,30
2019-05-30 00:00:00 +0000 UTC,1,255,32
2019-05-31 00:00:00 +0000 UTC,1,255,31
2019-06-01 00:00:00 +0000 UTC,1,255,21
2019-06-02 00:00:00 +0000 UTC,1,27,10
2019-06-03 00:00:00 +0000 UTC,1,255,37
2019-06-04 00:00:00 +0000 UTC,1,255,46
2019-06-05 00:00:00 +0000 UTC,1,255,44
2019-06-06 00:00:00 +0000 UTC,1,31,13
2019-06-07 00:00:00 +0000 UTC,1,255,11
2019-06-08 00:00:00 +0000 UTC,1,255,10
2019-06-09 00:00:00 +0000 UTC,1,255,10
2019-06-10 00:00:00 +0000 UTC,1,255,21
2019-06-11 00:00:00 +0000 UTC,1,255,25
2019-06-12 00:00:00 +0000 UTC,1,255,26
2019-06-13 00:00:00 +0000 UTC,1,63,27
2019-06-14 00:00:00 +0000 UTC,1,67,29
2019-06-15 00:00:00 +0000 UTC,1,54,26
2019-06-16 00:00:00 +0000 UTC,1,44,20
2019-06-17 00:00:00 +0000 UTC,1,62,28
2019-06-18 00:00:00 +0000 UTC,1,255,31
2019-06-19 00:00:00 +0000 UTC,1,255,33
2019-06-20 00:00:00 +0000 UTC,1,67,31
2019-06-21 00:00:00 +0000 UTC,1,67,31
2019-06-22 00:00:00 +0000 UTC,1,58,30
2019-06-23 00:00:00 +0000 UTC,1,255,20
2019-06-24 00:00:00 +0000 UTC,1,255,31
2019-06-25 00:00:00 +0000 UTC,1,63,30
2019-06-26 00:00:00 +0000 UTC,2,62,29
2019-06-27 00:00:00 +0000 UTC,2,255,32
2019-06-28 00:00:00 +0000 UTC,2,255,32
2019-06-29 00:00:00 +0000 UTC,1,81,26
2019-06-30 00:00:00 +0000 UTC,1,255,21
2019-07-01 00:00:00 +0000 UTC,1,255,45
2019-07-02 00:00:00 +0000 UTC,1,255,25
2019-07-03 00:00:00 +0000 UTC,1,54,25
2019-07-04 00:00:00 +0000 UTC,1,255,27
2019-07-05 00:00:00 +0000 UTC,1,56,27
2019-07-06 00:00:00 +0000 UTC,1,255,23
2019-07-07 00:00:00 +0000 UTC,1,255,17
2019-07-08 00:00:00 +0000 UTC,1,255,26
2019-07-09 00:00:00 +0000 UTC,1,255,25
2019-07-10 00:00:00 +0000 UTC,1,49,25
2019-07-11 00:00:00 +0000 UTC,2,53,29
2019-07-12 00:00:00 +0000 UTC,1,56,26
2019-07-13 00:00:00 +0000 UTC,1,255,22
2019-07-14 00:00:00 +0000 UTC,1,255,17
2019-07-15 00:00:00 +0000 UTC,2,31,17
2019-07-16 00:00:00 +0000 UTC,1,51,22
2019-07-17 00:00:00 +0000 UTC,1,255,24
2019-07-18 00:00:00 +0000 UTC,1,49,25
2019-07-19 00:00:00 +0000 UTC,1,49,26
2019-07-20 00:00:00 +0000 UTC,1,44,21
2019-07-21 00:00:00 +0000 UTC,1,31,15
2019-07-22 00:00:00 +0000 UTC,1,49,24
2019-07-23 00:00:00 +0000 UTC,1,49,25
2019-07-24 00:00:00 +0000 UTC,1,51,26
2019-07-25 00:00:00 +0000 UTC,1,51,25
2019-07-26 00:00:00 +0000 UTC,1,57,26
2019-07-27 00:00:00 +0000 UTC,1,44,22
2019-07-28 00:00:00 +0000 UTC,1,27,14
2019-07-29 00:00:00 +0000 UTC,1,49,22
2019-07-30 00:00:00 +0000 UTC,1,53,24
2019-07-31 00:00:00 +0000 UTC,1,53,22
2019-08-01 00:00:00 +0000 UTC,1,53,24
2019-08-02 00:00:00 +0000 UTC,1,56,25
2019-08-03 00:00:00 +0000 UTC,1,40,20
2019-08-04 00:00:00 +0000 UTC,1,31,12
2019-08-05 00:00:00 +0000 UTC,1,49,22
2019-08-06 00:00:00 +0000 UTC,1,56,23
2019-08-07 00:00:00 +0000 UTC,1,51,24
2019-08-08 00:00:00 +0000 UTC,1,54,26
2019-08-09 00:00:00 +0000 UTC,1,51,25
2019-08-10 00:00:00 +0000 UTC,1,26,11
2019-08-11 00:00:00 +0000 UTC,1,29,12
2019-08-12 00:00:00 +0000 UTC,1,35,14
2019-08-13 00:00:00 +0000 UTC,1,22,10
2019-08-14 00:00:00 +0000 UTC,1,18,8
2019-08-15 00:00:00 +0000 UTC,1,26,9
2019-08-16 00:00:00 +0000 UTC,1,26,9
2019-08-17 00:00:00 +0000 UTC,1,51,17
2019-08-18 00:00:00 +0000 UTC,1,22,9
2019-08-19 00:00:00 +0000 UTC,1,49,20
2019-08-20 00:00:00 +0000 UTC,1,51,23
2019-08-21 00:00:00 +0000 UTC,1,53,25
2019-08-22 00:00:00 +0000 UTC,1,53,24
2019-08-23 00:00:00 +0000 UTC,1,57,25
2019-08-24 00:00:00 +0000 UTC,1,49,23
2019-08-25 00:00:00 +0000 UTC,1,35,17
2019-08-26 00:00:00 +0000 UTC,1,54,25
2019-08-27 00:00:00 +0000 UTC,1,57,26
2019-08-28 00:00:00 +0000 UTC,1,61,29
2019-08-29 00:00:00 +0000 UTC,1,65,32
2019-08-30 00:00:00 +0000 UTC,1,36,16
2019-08-31 00:00:00 +0000 UTC,1,42,19
2019-09-01 00:00:00 +0000 UTC,1,44,19
2019-09-02 00:00:00 +0000 UTC,1,56,26
2019-09-03 00:00:00 +0000 UTC,1,57,27
2019-09-04 00:00:00 +0000 UTC,1,61,29
2019-09-05 00:00:00 +0000 UTC,1,59,28
2019-09-06 00:00:00 +0000 UTC,1,64,30
2019-09-07 00:00:00 +0000 UTC,1,56,28
2019-09-08 00:00:00 +0000 UTC,1,45,20
2019-09-09 00:00:00 +0000 UTC,1,51,23
2019-09-10 00:00:00 +0000 UTC,1,54,25
2019-09-11 00:00:00 +0000 UTC,1,255,27
2019-09-12 00:00:00 +0000 UTC,1,58,27
2019-09-13 00:00:00 +0000 UTC,2,69,31
2019-09-14 00:00:00 +0000 UTC,1,54,27
2019-09-15 00:00:00 +0000 UTC,1,45,21
2019-09-16 00:00:00 +0000 UTC,1,58,25
2019-09-17 00:00:00 +0000 UTC,1,58,26
2019-09-18 00:00:00 +0000 UTC,1,255,28
2019-09-19 00:00:00 +0000 UTC,1,63,28
2019-09-20 00:00:00 +0000 UTC,1,80,38
2019-09-21 00:00:00 +0000 UTC,1,62,29
2019-09-22 00:00:00 +0000 UTC,1,54,23
2019-09-23 00:00:00 +0000 UTC,1,255,26
2019-09-24 00:00:00 +0000 UTC,1,67,28
2019-09-25 00:00:00 +0000 UTC,1,54,26
2019-09-26 00:00:00 +0000 UTC,1,67,28
2019-09-27 00:00:00 +0000 UTC,1,62,28
2019-09-28 00:00:00 +0000 UTC,1,56,26
2019-09-29 00:00:00 +0000 UTC,1,53,21
2019-09-30 00:00:00 +0000 UTC,1,58,25
2019-10-01 00:00:00 +0000 UTC,1,67,28
2019-10-02 00:00:00 +0000 UTC,1,63,28
2019-10-03 00:00:00 +0000 UTC,1,65,29
2019-10-04 00:00:00 +0000 UTC,2,67,31
2019-10-05 00:00:00 +0000 UTC,4,60,31
2019-10-06 00:00:00 +0000 UTC,1,45,22
2019-10-07 00:00:00 +0000 UTC,1,58,26
2019-10-08 00:00:00 +0000 UTC,4,72,36
2019-10-09 00:00:00 +0000 UTC,1,65,28
2019-10-10 00:00:00 +0000 UTC,1,65,29
2019-10-11 00:00:00 +0000 UTC,1,67,30
2019-10-12 00:00:00 +0000 UTC,1,60,28
2019-10-13 00:00:00 +0000 UTC,1,53,22
2019-10-14 00:00:00 +0000 UTC,1,63,27
2019-10-15 00:00:00 +0000 UTC,2,62,28
2019-10-16 00:00:00 +0000 UTC,1,62,27
2019-10-17 00:00:00 +0000 UTC,2,62,29
2019-10-18 00:00:00 +0000 UTC,4,69,30
2019-10-19 00:00:00 +0000 UTC,2,58,29
2019-10-20 00:00:00 +0000 UTC,1,54,23
2019-10-21 00:00:00 +0000 UTC,1,62,25
2019-10-22 00:00:00 +0000 UTC,1,65,28
2019-10-23 00:00:00 +0000 UTC,2,67,29
2019-10-24 00:00:00 +0000 UTC,2,69,30
2019-10-25 00:00:00 +0000 UTC,2,74,33
2019-10-26 00:00:00 +0000 UTC,1,63,29
2019-10-27 00:00:00 +0000 UTC,1,63,17
2019-10-28 00:00:00 +0000 UTC,1,53,20
2019-10-29 00:00:00 +0000 UTC,2,36,16
2019-10-30 00:00:00 +0000 UTC,1,60,27
2019-10-31 00:00:00 +0000 UTC,2,80,34
2019-11-01 00:00:00 +0000 UTC,13,71,38
2019-11-02 00:00:00 +0000 UTC,2,255,29
2019-11-03 00:00:00 +0000 UTC,2,65,30
2019-11-04 00:00:00 +0000 UTC,2,62,27
2019-11-05 00:00:00 +0000 UTC,4,65,31
2019-11-06 00:00:00 +0000 UTC,4,71,31
2019-11-07 00:00:00 +0000 UTC,2,69,30
2019-11-08 00:00:00 +0000 UTC,2,255,34
2019-11-09 00:00:00 +0000 UTC,4,255,30
2019-11-10 00:00:00 +0000 UTC,1,49,23
