DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-04-10 16:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,667,704
2020-04-16 12:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,145,147
2020-04-17 14:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,816,831
2020-04-16 00:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,5,5
2020-04-28 12:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,1452,1543
2020-04-17 18:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,1011,1022
2020-04-03 17:00:00,1,KARAYOLU,ÖHO,2,NORMAL,24066,26484
2020-04-15 08:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,625,646
2020-04-03 05:00:00,1,KARAYOLU,ÖHO,2,NORMAL,2007,2094
2020-04-16 18:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,152,154
2020-04-16 05:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,8,10
2020-04-19 17:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,9,9
2020-04-16 19:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,411,413
2020-04-15 22:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,5,5
2020-04-16 01:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,1,1
2020-04-15 00:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,1,1
2020-04-30 04:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,5,5
2020-04-28 18:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,3755,3861
2020-04-17 05:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,3,3
2020-04-30 16:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,4690,5030
2020-04-03 10:00:00,1,KARAYOLU,ÖHO,2,NORMAL,13839,15500
2020-04-29 08:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,961,964
2020-04-30 12:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,1714,1785
2020-04-28 13:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,842,851
2020-04-15 19:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,43,43
2020-04-16 19:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,74,74
2020-04-23 06:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,172,177
2020-04-23 11:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,58,61
2020-04-23 18:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,357,362
2020-04-12 11:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,3,3
2020-04-08 00:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,11,11
2020-04-03 07:00:00,1,KARAYOLU,ÖHO,2,NORMAL,28982,31159
2020-04-23 10:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,86,90
2020-04-17 11:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,281,285
2020-04-27 21:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,76,83
2020-04-04 23:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,170,171
2020-04-09 00:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,15,17
2020-04-04 11:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,1421,1478
2020-04-08 17:00:00,1,KARAYOLU,ÖHO,2,NORMAL,23389,25608
2020-04-11 04:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,4,4
2020-04-27 19:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,1978,2054
2020-04-20 07:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,813,813
2020-04-16 20:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,570,573
2020-04-15 05:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,6,7
2020-04-07 13:00:00,1,KARAYOLU,ÖHO,2,NORMAL,14671,16638
2020-04-16 09:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,151,151
2020-04-16 04:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,4,4
2020-04-23 09:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,163,168
2020-04-07 11:00:00,1,KARAYOLU,ÖHO,2,NORMAL,12866,14396
2020-04-27 20:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,1051,1081
2020-04-10 17:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,996,1051
2020-04-08 20:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,1777,1822
2020-04-30 12:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,3015,3281
2020-04-15 10:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,130,130
2020-04-23 07:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,711,724
2020-04-24 18:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,50,50
2020-04-03 06:00:00,1,KARAYOLU,ÖHO,2,NORMAL,13776,14716
