DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2020-03-10 19:00:00,1,KARAYOLU,ÖHO,2,NORMAL,118962,128267
2020-03-20 17:00:00,2,RAY,TELEFERİK MAÇKA - TAŞKIŞLA,2,NORMAL,12,18
2020-03-19 16:00:00,1,KARAYOLU,ÖHO,2,NORMAL,42841,47911
2020-03-15 20:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,5027,5143
2020-03-06 20:00:00,2,RAY,İETT TÜNEL,2,AKTARMA,228,228
2020-03-24 16:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,1104,1122
2020-03-27 00:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,69,71
2020-03-23 19:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,4160,4314
2020-03-08 16:00:00,1,KARAYOLU,İETT,2,AKTARMA,2994,3003
2020-03-20 07:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,2,2
2020-03-09 23:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,1852,1943
2020-03-25 07:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,2,2
2020-03-06 13:00:00,2,RAY,İETT TÜNEL,2,NORMAL,540,590
2020-03-22 20:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,285,299
2020-03-19 22:00:00,1,KARAYOLU,ÖHO,2,NORMAL,14295,16035
2020-03-05 17:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,3573,3591
2020-03-28 13:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,1986,2091
2020-03-24 17:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,6184,6464
2020-03-04 06:00:00,1,KARAYOLU,İETT,2,AKTARMA,1374,1382
2020-03-10 21:00:00,1,KARAYOLU,ÖHO,2,NORMAL,61478,67907
2020-03-04 20:00:00,1,KARAYOLU,İETT,2,AKTARMA,4189,4214
2020-03-24 18:00:00,2,RAY,KADIKÖY-MODA,2,NORMAL,11,11
2020-03-09 05:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,475,485
2020-03-09 10:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,8716,9036
2020-03-09 16:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,2799,2818
2020-03-04 13:00:00,1,KARAYOLU,İETT,2,NORMAL,36011,38422
2020-03-16 09:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,10001,10324
2020-03-08 22:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,NORMAL,5277,5636
2020-03-23 11:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,234,235
2020-03-24 17:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,2,2
2020-03-15 13:00:00,1,KARAYOLU,ÖHO,2,NORMAL,67360,77211
2020-03-28 15:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,1856,2010
2020-03-29 09:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,91,91
2020-03-15 19:00:00,1,KARAYOLU,ÖHO,2,NORMAL,46947,53567
2020-03-23 20:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,3321,3544
2020-03-28 09:00:00,3,DENİZ,MOTOR TEKNE,2,AKTARMA,100,100
2020-03-24 10:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,5,5
2020-03-20 16:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,5,5
2020-03-24 08:00:00,2,RAY,KADIKÖY-MODA,2,AKTARMA,9,9
2020-03-28 20:00:00,2,RAY,KADIKÖY-MODA,2,NORMAL,1,1
