DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2021-03-06 23:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,139,139
2021-03-11 17:00:00,2,RAY,TELEFERİK MAÇKA - TAŞKIŞLA,2,AKTARMA,2,2
2021-03-23 11:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,407,410
2021-03-18 00:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,107,107
2021-03-24 08:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,18127,18170
2021-03-17 10:00:00,3,DENİZ,MOTOR TEKNE,2,NORMAL,2151,2155
2021-03-24 00:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,31,31
2021-03-22 21:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,AKTARMA,32,32
2021-03-24 02:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,2,2
2021-03-07 10:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,3419,3455
2021-03-23 17:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,459,461
2021-03-31 12:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,1140,1149
2021-03-24 17:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,6622,6647
2021-03-23 13:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,402,408
2021-03-06 21:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,NORMAL,403,404
2021-03-01 08:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,665,665
2021-03-31 18:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,AKTARMA,2794,2812
2021-03-07 02:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,1,1
2021-03-21 23:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,3,3
2021-03-24 04:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,2,2
2021-03-31 17:00:00,1,KARAYOLU,İETT,2,NORMAL,48834,50378
2021-03-17 06:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,2982,2984
2021-03-03 12:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,685,693
